web-scraper-order,web-scraper-start-url,page-links,page-links-href,location-links,location-links-href,name,address
"1633538441-12","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.afe528f585df134d93d91b00d62ff104.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538426-8","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.ba14c7136feb29cac839b5f8727ab1c8.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538448-14","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.e5881e2be1095a4de4661b796e402695.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538444-13","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.af53b1491e421edceafc350e051e6ad1.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538399-1","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.c39d03ef5d4f12f425d0eee8b7f896db.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538412-4","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.f5bab48a50dc46c8e29c4d4776b81cf6.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538422-7","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.02b71f1bb5ff687bbe07f78c6125d593.html","Holcim (us) Inc.","West 8TH St
                    Superior
                        ​, NE,
                    
                        68978
                United States
                    See other locations"
"1633538416-5","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.99aa9fabcaf9e76b3ca42949a8247258.html","Holcim (us) Inc.","5001 Fort Totten Dr NE
                    Washington
                        ​, DC,
                    
                        20011-7560
                United States
                    See other locations"
"1633538430-9","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.f54a216a062647a3cf649fc2e28d3e4b.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538419-6","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.575baaeb6ea4353445787abe4f44dca2.html","Holcim (us) Inc.","1255 Airline Hwy
                    Baton Rouge
                        ​, LA,
                    
                        70805-1002
                United States
                    See other locations"
"1633538437-11","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.7128f21fbcbb70f0757d2cd24f5dd161.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538408-3","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.d448b3203ded56e6583712d27f526518.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538433-10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.84ece7273509cc5dc21b2537f4cd8f02.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
"1633538403-2","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1","10","https://www.dnb.com/business-directory/company-search.html?term=holcim&page=10","Holcim (us) Inc.","https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.2d8abdd191f9dddc96ec020ec303327d.html","Holcim (us) Inc.","www.lafargeholcim.usExternal Website. Opens New Window"
