web-scraper-order,web-scraper-start-url,page-links,page-links-href,name,address,key-principal,phone
1633538779-144,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Participations (us) Inc.,https://www.dnb.com/business-directory/company-profiles.holcim_participations_(us)_inc.6053b7432dafed4436e47669e72bea3c.html,Holcim Participations (us) Inc.,"8700 W Bryn Mawr Ave Ste 300
                    Chicago
                        ​, IL,
                    
                        60631-3512
                United States
                    See other locations",Guy Edwards,(773) 372-1000
1633538824-160,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Helvetia Finance AG,https://www.dnb.com/business-directory/company-profiles.holcim_helvetia_finance_ag.d768ce6574db37502832f3a6d223e875.html,Holcim Helvetia Finance AG,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Laurent Jaques,-588588559
1633538828-163,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Continental Finance AG,https://www.dnb.com/business-directory/company-profiles.holcim_continental_finance_ag.1d04a41e730ae6e2c3d57596ae479bf7.html,Holcim Continental Finance AG,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Laurent Jaques,-588588559
1633538749-130,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM (ROMANIA) SA,https://www.dnb.com/business-directory/company-profiles.holcim_(romania)_sa.c708a363f1f75d64199b8ccccfc366d5.html,HOLCIM (ROMANIA) SA,"FLOREASCA NR 169A ETAJ 7 SECTOR 1
                    Bucuresti
                        Romania
                    See other locations",null,-212317669
1633538759-134,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,"HOLCIM PHILIPPINES, INC.",https://www.dnb.com/business-directory/company-profiles.holcim_philippines_inc.1e51a39ef37b7844b77aa006d80caf09.html,"HOLCIM PHILIPPINES, INC.","7th Floor Two World Square, McKinley Hill, Fort Bonifacio
                    Taguig
                        ​, Manila,
                    
                        1634
                Philippines
                    See other locations",John William Stull,-9175150282
1633538809-151,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim (Schweiz) AG,https://www.dnb.com/business-directory/company-profiles.holcim_(schweiz)_ag.0f6c778fc7ee7f46b6836b41560d4fe2.html,Holcim (Schweiz) AG,"Zementwerk Siggenthal
                    Würenlingen
                        ​, AARGAU,
                    
                        5303
                Switzerland
                    See other locations",Kaspar Wenger,-588505514
1633538745-127,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,EQIOM,https://www.dnb.com/business-directory/company-profiles.eqiom.7d50e1da343cd35f07034d9a158b7432.html,EQIOM,"ZONE D AMENAGEMENT CONCERTE DANTON
                    10 AVENUE DE L ARCHE
                    
                                92400, COURBEVOIE
                    ​, ILE-DE-FRANCEFrance
                    See other locations",Robert HUET,-141061074
1633538774-140,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM (AUSTRALIA) PTY LTD,https://www.dnb.com/business-directory/company-profiles.holcim_(australia)_pty_ltd.58cc91e8e4a0cfcb29bdbadf613f356b.html,HOLCIM (AUSTRALIA) PTY LTD,www.holcim.com.auExternal Website. Opens New Window,PHILIP ANTHONY WALLACE,-294126539
1633538741-124,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,EQIOM BETONS,https://www.dnb.com/business-directory/company-profiles.eqiom_betons.44dfce1ce8430b829e872c31832fa41a.html,EQIOM BETONS,"COLISEE GARDENS
                    10 AVENUE DE L ARCHE
                    
                                92400, COURBEVOIE
                    ​, ILE DE FRANCEFrance
                    See other locations",Régis NIVESSE,-141061074
1633538783-147,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim BF+P SA,https://www.dnb.com/business-directory/company-profiles.holcim_bfp_sa.d4ca3b3a25bacdd00cf3db3873dc578a.html,Holcim BF+P SA,"Centrale Holcim BF+P SA
                    Eclépens
                        ​, VAUD,
                    
                        1312
                Switzerland
                    See other locations",Céline Da Costa Coimbra,-216374209
